;url;Jahr;Laenge;Motor;Liegeplatz;Rumpfmaterial;YW#;Preis_String;Preis;Waehrung;Versteuert;Reserviert;Preis_Updates;Preis_Entwicklung;Preis_Ent_Datum;Datum_Ersterfassung;Datum_Letztes_Update;Alter_Anzeige
0;https://www.yachtworld.de/Boote/1925/custom-galeasse-3222289/;1925;25;einmotorig / diesel;North Germany, Deutschland;Stahl;36424-3222289;EUR70,000;70000,0;euro;;Nein;0;70000.0,;;2021-04-01;;
1;https://www.yachtworld.de/Boote/1983/custom-ferro-cement-ketch-3726479/;1983;23;  /;Honolulu, HI;Ferro-Zement;80163-3726479;US$79,500 (EUR67,792);67792,0;euro;;Nein;0;67792.0,;;2021-04-01;;
2;https://www.yachtworld.de/Boote/1972/custom-motor-sailing-yacht-santa-marina--2183958/;1972;23;einmotorig / diesel;Varna, Bulgarien;Holz;77410-2183958;EUR49,900 Nicht versteuertReserviert;49900,0;euro;Nein;Ja;0;49900.0,;;2021-04-01;;
3;https://www.yachtworld.de/Boote/1964/sangermani-l-giles-design-3594199/;1964;20;einmotorig / diesel;La Spezia, Italien;Holz;81970-3594199;EUR45,000;45000,0;euro;;Nein;0;45000.0,;;2021-04-01;;
4;https://www.yachtworld.de/Boote/1927/ketch-gaff-j-cristoffersen-3685516/;1927;18;einmotorig / diesel;Mare Adriatico, Italien;Anderes;75232-3685516;EUR70,000 Versteuert;70000,0;euro;Ja;Nein;0;70000.0,;;2021-04-01;;
5;https://www.yachtworld.de/Boote/1931/alden-yawl-2397538/;1931;17;einmotorig / diesel;Alameda, CA;Holz;1542-2397538;US$75,000 (EUR63,955);63955,0;euro;;Nein;0;63955.0,;;2021-04-01;;
6;https://www.yachtworld.de/Boote/1979/camper-nicholson-ketch-sloop-16-9m-3006225/;1979;17;  /;Istria, Kroatien;GFK (Fiberglas);72731-3006225;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
7;https://www.yachtworld.de/Boote/1963/custom-bill-tripp-classic-yawl-3191967/;1963;17;einmotorig / diesel;Virgin Gorda, Britische Jungferninseln;Holz;76847-3191967;US$79,950 (EUR68,176);68176,0;euro;;Nein;0;68176.0,;;2021-04-01;;
8;https://www.yachtworld.de/Boote/1905/tjalk-wildschut-3111690/;1905;16;einmotorig / diesel;Katwoude, Niederlande;Stahl;1323-3111690;EUR65,000;65000,0;euro;;Nein;0;65000.0,;;2021-04-01;;
9;https://www.yachtworld.de/Boote/1973/mull-54-3656841/;1973;16;einmotorig / diesel;Bay City, MI;Aluminium;35624-3656841;US$60,000 (EUR51,164);51164,0;euro;;Nein;0;51164.0,;;2021-04-01;;
10;https://www.yachtworld.de/Boote/1989/bruce-roberts-custom-3560009/;1989;16;einmotorig / diesel;Georgetown, Bahamas;GFK (Fiberglas);1549-3560009;US$47,500 (EUR40,505);40505,0;euro;;Nein;0;40505.0,;;2021-04-01;;
11;https://www.yachtworld.de/Boote/1978/sailboat-cantiere-boretto-3603635/;1978;16;  /;Leros, Griechenland;Stahl;81216-3603635;EUR70,000;70000,0;euro;;Nein;0;70000.0,;;2021-04-01;;
12;https://www.yachtworld.de/Boote/1972/van-dam-trewes-47-ketch-3118107/;1972;16;einmotorig / diesel;Ta'Xbiex, Malta;Stahl;80115-3118107;EUR65,000 Versteuert;65000,0;euro;Ja;Nein;0;65000.0,;;2021-04-01;;
13;https://www.yachtworld.de/Boote/1983/jeanneau-trinidad-custom-52-3810320/;1983;16;einmotorig / diesel;Roma, Lazio, Italien;GFK (Fiberglas);75232-3810320;EUR64,000;64000,0;euro;;Nein;0;64000.0,;;2021-04-01;;
14;https://www.yachtworld.de/Boote/1987/beneteau-idylle-3649407/;1987;16;einmotorig / diesel;Chaguaramas, Trinidad und Tobago;GFK (Fiberglas);39304-3649407;US$75,000 (EUR63,955)Reserviert;63955,0;euro;;Ja;0;63955.0,;;2021-04-01;;
15;https://www.yachtworld.de/Boote/1983/wasa-atlantic-51-3717032/;1983;16;einmotorig / diesel;Solomons, MD;GFK (Fiberglas);1925-3717032;US$57,000 (EUR48,606);48606,0;euro;;Nein;0;48606.0,;;2021-04-01;;
16;https://www.yachtworld.de/Boote/1975/miller-51ft-motorsailer-3816388/;1975;16;einmotorig / diesel;Dumbarton, West Dunbartonshire, Großbritannien;Holz;35144-3816388;£58,000 Versteuert (EUR68,169);68169,0;euro;Ja;Nein;0;68169.0,;;2021-04-01;;
17;https://www.yachtworld.de/Boote/1987/gulfstar-sloop-3562842/;1987;15;einmotorig / diesel;East Hampton, NY;GFK (Fiberglas);77126-3562842;US$79,000 (EUR67,366);67366,0;euro;;Nein;0;67366.0,;;2021-04-01;;
18;https://www.yachtworld.de/Boote/1986/horton-gaff-yawl-3039602/;1986;15;einmotorig / diesel;Irland;GFK (Fiberglas);80134-3039602;EUR57,000 Nicht versteuert;57000,0;euro;Nein;Nein;0;57000.0,;;2021-04-01;;
